feature,count,missing,nonfinite,negative,min,max,q01,q05,q25,q50,q75,q90,q95,q97_5,q99,q99_9,mean,std
MAX_IP_PKT_LEN,53192767,0,0,0,28.0,65535.0,28.0,28.0,40.0,100.0,140.0,1195.0,1470.0,1500.0,1500.0,1500.0,267.49937,430.0422578300917
SRC_TO_DST_SECOND_BYTES,53192767,0,0,0,0.0,8.912111521067721e+304,40.0,44.0,68.0,1456.0,3833.5,140140.0,140280.0,288428.0,140140140.0,140280140.0,,
DST_TO_SRC_SECOND_BYTES,53192767,0,0,0,0.0,2.314160715049118e+252,0.0,0.0,0.0,0.0,164.0,1873.0,4444.0,11252.0,91200.31999999669,36281674.078000695,,
RETRANSMITTED_IN_BYTES,53192767,0,0,0,0.0,15120489.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,451.0,578.0299999999843,15598.487000009554,66.07554,1238.2116800102108
RETRANSMITTED_IN_PKTS,53192767,0,0,0,0.0,13796.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,11.0,29.0,0.39039,5.026526200856811
RETRANSMITTED_OUT_BYTES,53192767,0,0,0,0.0,7329139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,4820.0,95786.0,582.55012,13929.36591443875
RETRANSMITTED_OUT_PKTS,53192767,0,0,0,0.0,5536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,66.0,0.58208,10.20735043356502
SRC_TO_DST_AVG_THROUGHPUT,53192767,0,0,0,0.0,4276296000.0,0.0,0.0,224000.0,520000.0,1120000.0,7128000.0,12976399.999999907,18176599.99999986,30400159.999999918,297440016.00000006,2865114.96,14750904.030407906
DST_TO_SRC_AVG_THROUGHPUT,53192767,0,0,0,0.0,4294480000.0,0.0,0.0,0.0,0.0,912000.0,10984000.0,17648000.0,39976199.999999955,123552159.99999991,697779984.0000153,7249584.5632,67083788.590247326
NUM_PKTS_UP_TO_128_BYTES,53192767,0,0,0,0.0,475657.0,0.0,0.0,1.0,2.0,4.0,12.0,21.0,37.0,80.0,366.0,25.47889,1533.6349592632428
NUM_PKTS_128_TO_256_BYTES,53192767,0,0,0,0.0,52873.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,5.0,18.0,0.9295,7.176660069280139
NUM_PKTS_256_TO_512_BYTES,53192767,0,0,0,0.0,47667.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,14.001000000003842,0.31098,3.6353887604491484
NUM_PKTS_512_TO_1024_BYTES,53192767,0,0,0,0.0,38811.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,19.00100000000384,0.49867,72.6670873107702
NUM_PKTS_1024_TO_1514_BYTES,53192767,0,0,0,0.0,200984.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,16.0,352.0,2.24398,151.82332236438378
TCP_WIN_MAX_IN,53192767,0,0,0,0.0,65535.0,0.0,0.0,0.0,512.0,4096.0,29200.0,29200.0,64240.0,65535.0,65535.0,6020.45273,13271.917488210418
TCP_WIN_MAX_OUT,53192767,0,0,0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,29200.0,64000.0,64000.0,65535.0,65535.0,8405.07426,17741.11397865042
ICMP_TYPE,53192767,0,0,0,0.0,65316.0,0.0,0.0,0.0,0.0,0.0,9472.0,35840.0,35840.0,49920.0,64000.0,3732.87709,11516.36012461503
ICMP_IPV4_TYPE,53192767,0,0,0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,35.0,140.0,140.0,195.0,250.0,14.59535,45.04419283745131
DNS_QUERY_ID,53192767,0,0,0,0.0,65535.0,0.0,0.0,0.0,0.0,0.0,18299.0,42120.39999999991,53650.024999999994,60764.03999999998,65056.00500000002,4533.96655,13339.92393820636
DNS_QUERY_TYPE,53192767,0,0,0,0.0,55937.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,255.0,1.38216,9.796574591886698
DNS_TTL_ANSWER,53192767,0,0,0,0.0,4294915672.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,60.0,60.0,604800.0,908.17185,21741.580408352045
FTP_COMMAND_RET_CODE,53192767,0,0,0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1.58727,20.93668321265573
