threshold,component,size,features,mean_first_order_within,min_first_order_within
0.91,30,1,FTP_COMMAND_RET_CODE,,
0.92,1,1,PROTOCOL,,
0.92,2,1,L7_PROTO,,
0.92,3,1,IN_BYTES,,
0.92,4,1,IN_PKTS,,
0.92,5,1,OUT_BYTES,,
0.92,6,1,OUT_PKTS,,
0.92,7,7,TCP_FLAGS | SERVER_TCP_FLAGS | NUM_PKTS_256_TO_512_BYTES | NUM_PKTS_512_TO_1024_BYTES | NUM_PKTS_1024_TO_1514_BYTES | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.5145694396002396,0.3516758664926598
0.92,8,1,CLIENT_TCP_FLAGS,,
0.92,9,1,FLOW_DURATION_MILLISECONDS,,
0.92,10,1,DURATION_IN,,
0.92,11,1,DURATION_OUT,,
0.92,12,1,MIN_TTL,,
0.92,13,1,MAX_TTL,,
0.92,14,1,LONGEST_FLOW_PKT,,
0.92,15,1,SHORTEST_FLOW_PKT,,
0.92,16,1,MIN_IP_PKT_LEN,,
0.92,17,1,MAX_IP_PKT_LEN,,
0.92,18,1,SRC_TO_DST_SECOND_BYTES,,
0.92,19,1,DST_TO_SRC_SECOND_BYTES,,
0.92,20,1,RETRANSMITTED_IN_BYTES,,
0.92,21,1,RETRANSMITTED_IN_PKTS,,
0.92,22,1,RETRANSMITTED_OUT_BYTES,,
0.92,23,1,RETRANSMITTED_OUT_PKTS,,
0.92,24,1,SRC_TO_DST_AVG_THROUGHPUT,,
0.92,25,1,DST_TO_SRC_AVG_THROUGHPUT,,
0.92,26,1,NUM_PKTS_UP_TO_128_BYTES,,
0.92,27,1,NUM_PKTS_128_TO_256_BYTES,,
0.92,28,1,ICMP_TYPE,,
0.92,29,1,ICMP_IPV4_TYPE,,
0.92,30,1,DNS_QUERY_ID,,
0.92,31,1,DNS_QUERY_TYPE,,
0.92,32,1,DNS_TTL_ANSWER,,
0.92,33,1,FTP_COMMAND_RET_CODE,,
0.93,1,1,PROTOCOL,,
0.93,2,1,L7_PROTO,,
0.93,3,1,IN_BYTES,,
0.93,4,1,IN_PKTS,,
0.93,5,1,OUT_BYTES,,
0.93,6,1,OUT_PKTS,,
0.93,7,1,TCP_FLAGS,,
0.93,8,1,CLIENT_TCP_FLAGS,,
0.93,9,5,SERVER_TCP_FLAGS | NUM_PKTS_256_TO_512_BYTES | NUM_PKTS_512_TO_1024_BYTES | NUM_PKTS_1024_TO_1514_BYTES | TCP_WIN_MAX_OUT,0.49769845769509524,0.4187463813065434
0.93,10,1,FLOW_DURATION_MILLISECONDS,,
0.93,11,1,DURATION_IN,,
0.93,12,1,DURATION_OUT,,
0.93,13,1,MIN_TTL,,
0.93,14,1,MAX_TTL,,
0.93,15,1,LONGEST_FLOW_PKT,,
0.93,16,1,SHORTEST_FLOW_PKT,,
0.93,17,1,MIN_IP_PKT_LEN,,
0.93,18,1,MAX_IP_PKT_LEN,,
0.93,19,1,SRC_TO_DST_SECOND_BYTES,,
0.93,20,1,DST_TO_SRC_SECOND_BYTES,,
0.93,21,1,RETRANSMITTED_IN_BYTES,,
0.93,22,1,RETRANSMITTED_IN_PKTS,,
0.93,23,1,RETRANSMITTED_OUT_BYTES,,
0.93,24,1,RETRANSMITTED_OUT_PKTS,,
0.93,25,1,SRC_TO_DST_AVG_THROUGHPUT,,
0.93,26,1,DST_TO_SRC_AVG_THROUGHPUT,,
0.93,27,1,NUM_PKTS_UP_TO_128_BYTES,,
0.93,28,1,NUM_PKTS_128_TO_256_BYTES,,
0.93,29,1,TCP_WIN_MAX_IN,,
0.93,30,1,ICMP_TYPE,,
0.93,31,1,ICMP_IPV4_TYPE,,
0.93,32,1,DNS_QUERY_ID,,
0.93,33,1,DNS_QUERY_TYPE,,
0.93,34,1,DNS_TTL_ANSWER,,
0.93,35,1,FTP_COMMAND_RET_CODE,,
